Year,Fatalities,Vehicles,Miles
1930,32900,26.7,206
1931,33700,26.1,216
1932,29500,24.4,200
1933,31363,24.2,201
1934,36101,25.3,216
1935,36369,26.5,229
1936,38089,28.5,252
1937,39643,30.1,270
1938,32582,29.8,271
1939,32386,31,285
1940,34501,32.5,302
1941,39969,34.9,334
1942,28309,33,268
1943,23823,30.9,208
1944,24282,30.5,213
1945,28076,31,250
1946,33411,34.4,341
1947,32697,37.8,371
1948,32259,41.1,398
1949,31701,44.7,424
1950,34763,49.2,458
1951,36996,51.9,491
1952,37794,53.3,514
1953,37956,56.3,544
1954,35586,58.6,562
1955,38426,62.8,606
1956,39628,65.2,631
1957,38702,67.6,647
1958,36981,68.8,665
1959,37910,72.1,700
